code_insee,nom_standard,nom_standard_majuscule,code_postal,type_commune_unite_urbaine,statut_commune_unite_urbaine,population,superficie_hectare,densite,altitude_moyenne,dep_code,dep_nom
01001,L'Abergement-Clémenciat,L'ABERGEMENT-CLÉMENCIAT,01400,HORS UNITE URBAINE,H,832,1565,53.0,242,01,Ain
01002,L'Abergement-de-Varey,L'ABERGEMENT-DE-VAREY,01640,HORS UNITE URBAINE,H,267,912,29.0,483,01,Ain
01004,Ambérieu-en-Bugey,AMBÉRIEU-EN-BUGEY,01500,UNITE URBAINE,C,14854,2448,607.0,379,01,Ain
01005,Ambérieux-en-Dombes,AMBÉRIEUX-EN-DOMBES,01330,HORS UNITE URBAINE,H,1897,1605,118.0,290,01,Ain
01006,Ambléon,AMBLÉON,01300,HORS UNITE URBAINE,H,113,602,19.0,589,01,Ain
01007,Ambronay,AMBRONAY,01500,HORS UNITE URBAINE,H,2833,3359,84.0,309,01,Ain
01008,Ambutrix,AMBUTRIX,01500,UNITE URBAINE,B,768,518,148.0,274,01,Ain
01009,Andert-et-Condon,ANDERT-ET-CONDON,01300,HORS UNITE URBAINE,H,322,696,46.0,294,01,Ain
01010,Anglefort,ANGLEFORT,01350,HORS UNITE URBAINE,H,1125,2948,38.0,706,01,Ain
01011,Apremont,APREMONT,01100,HORS UNITE URBAINE,H,383,1507,25.0,927,01,Ain
01012,Aranc,ARANC,01110,HORS UNITE URBAINE,H,327,2172,15.0,795,01,Ain
01013,Arandas,ARANDAS,01230,HORS UNITE URBAINE,H,141,1402,10.0,749,01,Ain
01014,Arbent,ARBENT,01100,UNITE URBAINE,B,3409,2374,144.0,709,01,Ain
01015,Arboys en Bugey,ARBOYS EN BUGEY,01300,HORS UNITE URBAINE,H,667,1301,51.0,289,01,Ain
01016,Arbigny,ARBIGNY,01190,HORS UNITE URBAINE,H,459,1756,26.0,185,01,Ain
01017,Argis,ARGIS,01230,HORS UNITE URBAINE,H,432,787,55.0,517,01,Ain
01019,Armix,ARMIX,01510,HORS UNITE URBAINE,H,26,695,4.0,831,01,Ain
01021,Ars-sur-Formans,ARS-SUR-FORMANS,01480,HORS UNITE URBAINE,H,1498,557,269.0,257,01,Ain
01022,Artemare,ARTEMARE,01510,HORS UNITE URBAINE,H,1177,334,352.0,267,01,Ain
01023,Asnières-sur-Saône,ASNIÈRES-SUR-SAÔNE,01570,HORS UNITE URBAINE,H,77,469,16.0,172,01,Ain
01024,Attignat,ATTIGNAT,01340,UNITE URBAINE,I,3336,1894,176.0,217,01,Ain
01025,Bâgé-Dommartin,BÂGÉ-DOMMARTIN,01380,UNITE URBAINE,C,4065,3983,102.0,201,01,Ain
01026,Bâgé-le-Châtel,BÂGÉ-LE-CHÂTEL,01380,UNITE URBAINE,B,979,86,1138.0,202,01,Ain
01027,Balan,BALAN,01360,UNITE URBAINE,B,2692,1794,150.0,194,01,Ain
01028,Baneins,BANEINS,01990,HORS UNITE URBAINE,H,621,904,69.0,242,01,Ain
01029,Beaupont,BEAUPONT,01270,HORS UNITE URBAINE,H,700,1404,50.0,205,01,Ain
01030,Beauregard,BEAUREGARD,01480,UNITE URBAINE,B,830,95,874.0,205,01,Ain
01031,Bellignat,BELLIGNAT,01100,UNITE URBAINE,B,3636,779,467.0,662,01,Ain
01032,Béligneux,BÉLIGNEUX,01360,UNITE URBAINE,C,3434,1331,258.0,223,01,Ain
01033,Valserhône,VALSERHÔNE,01200,UNITE URBAINE,C,16295,1544,1055.0,554,01,Ain
01034,Belley,BELLEY,01300,UNITE URBAINE,C,9239,2258,409.0,278,01,Ain
01035,Belleydoux,BELLEYDOUX,01130,HORS UNITE URBAINE,H,306,1789,17.0,953,01,Ain
01036,Valromey-sur-Séran,VALROMEY-SUR-SÉRAN,01260,HORS UNITE URBAINE,H,1342,1968,68.0,630,01,Ain
01037,Bénonces,BÉNONCES,01470,HORS UNITE URBAINE,H,310,1532,20.0,702,01,Ain
01038,Bény,BÉNY,01370,HORS UNITE URBAINE,H,764,1827,42.0,227,01,Ain
01040,Béréziat,BÉRÉZIAT,01340,HORS UNITE URBAINE,H,480,1127,43.0,201,01,Ain
01041,Bettant,BETTANT,01500,HORS UNITE URBAINE,H,749,344,218.0,326,01,Ain
01042,Bey,BEY,01290,HORS UNITE URBAINE,H,290,279,104.0,199,01,Ain
01043,Beynost,BEYNOST,01700,UNITE URBAINE,B,4877,1072,455.0,237,01,Ain
01044,Billiat,BILLIAT,01200,HORS UNITE URBAINE,H,626,1400,45.0,774,01,Ain
01045,Birieux,BIRIEUX,01330,HORS UNITE URBAINE,H,284,1576,18.0,281,01,Ain
01046,Biziat,BIZIAT,01290,HORS UNITE URBAINE,H,904,1164,78.0,195,01,Ain
01047,Blyes,BLYES,01150,HORS UNITE URBAINE,H,1292,936,138.0,212,01,Ain
01049,La Boisse,LA BOISSE,01120,UNITE URBAINE,B,3361,938,358.0,230,01,Ain
01050,Boissey,BOISSEY,01380,HORS UNITE URBAINE,H,386,939,41.0,198,01,Ain
01051,Bolozon,BOLOZON,01450,HORS UNITE URBAINE,H,95,500,19.0,388,01,Ain
01052,Bouligneux,BOULIGNEUX,01330,HORS UNITE URBAINE,H,327,2622,12.0,282,01,Ain
01053,Bourg-en-Bresse,BOURG-EN-BRESSE,01000,UNITE URBAINE,C,41525,2400,1730.0,239,01,Ain
01054,Bourg-Saint-Christophe,BOURG-SAINT-CHRISTOPHE,01800,UNITE URBAINE,B,1517,891,170.0,256,01,Ain
01056,Boyeux-Saint-Jérôme,BOYEUX-SAINT-JÉRÔME,01640,HORS UNITE URBAINE,H,356,1668,21.0,577,01,Ain
01057,Boz,BOZ,01190,HORS UNITE URBAINE,H,510,771,66.0,186,01,Ain
01058,Brégnier-Cordon,BRÉGNIER-CORDON,01300,HORS UNITE URBAINE,H,818,1113,73.0,230,01,Ain
01060,Brénod,BRÉNOD,01110,HORS UNITE URBAINE,H,518,2399,22.0,925,01,Ain
01061,Brens,BRENS,01300,UNITE URBAINE,B,1129,684,165.0,252,01,Ain
01062,Bressolles,BRESSOLLES,01360,HORS UNITE URBAINE,H,978,767,128.0,261,01,Ain
01063,Brion,BRION,01460,UNITE URBAINE,B,576,450,128.0,486,01,Ain
01064,Briord,BRIORD,01470,HORS UNITE URBAINE,H,1099,1238,89.0,290,01,Ain
01065,Buellas,BUELLAS,01310,UNITE URBAINE,C,1851,1024,181.0,225,01,Ain
01066,La Burbanche,LA BURBANCHE,01510,HORS UNITE URBAINE,H,95,1107,9.0,546,01,Ain
01067,Ceignes,CEIGNES,01430,HORS UNITE URBAINE,H,261,1020,26.0,684,01,Ain
01068,Cerdon,CERDON,01450,HORS UNITE URBAINE,H,761,1211,63.0,552,01,Ain
01069,Certines,CERTINES,01240,UNITE URBAINE,B,1505,1598,94.0,254,01,Ain
01071,Cessy,CESSY,01170,UNITE URBAINE,B,5307,644,824.0,525,01,Ain
01072,Ceyzériat,CEYZÉRIAT,01250,UNITE URBAINE,C,3285,921,357.0,322,01,Ain
01073,Ceyzérieu,CEYZÉRIEU,01350,HORS UNITE URBAINE,H,992,1972,50.0,306,01,Ain
01074,Chalamont,CHALAMONT,01320,UNITE URBAINE,I,2559,3296,78.0,292,01,Ain
01075,Chaleins,CHALEINS,01480,HORS UNITE URBAINE,H,1430,1708,84.0,234,01,Ain
01076,Chaley,CHALEY,01230,HORS UNITE URBAINE,H,124,465,27.0,591,01,Ain
01077,Challes-la-Montagne,CHALLES-LA-MONTAGNE,01450,HORS UNITE URBAINE,H,189,779,24.0,519,01,Ain
01078,Challex,CHALLEX,01630,HORS UNITE URBAINE,H,1619,877,185.0,442,01,Ain
01079,Champagne-en-Valromey,CHAMPAGNE-EN-VALROMEY,01260,HORS UNITE URBAINE,H,826,1819,45.0,584,01,Ain
01080,Champdor-Corcelles,CHAMPDOR-CORCELLES,01110,HORS UNITE URBAINE,H,645,1733,37.0,918,01,Ain
01081,Champfromier,CHAMPFROMIER,01410,HORS UNITE URBAINE,H,718,3184,23.0,1049,01,Ain
01082,Chanay,CHANAY,01420,HORS UNITE URBAINE,H,616,1838,34.0,742,01,Ain
01083,Chaneins,CHANEINS,01990,HORS UNITE URBAINE,H,1003,1269,79.0,251,01,Ain
01084,Chanoz-Châtenay,CHANOZ-CHÂTENAY,01400,HORS UNITE URBAINE,H,931,1331,70.0,234,01,Ain
01085,La Chapelle-du-Châtelard,LA CHAPELLE-DU-CHÂTELARD,01240,HORS UNITE URBAINE,H,394,1362,29.0,266,01,Ain
01087,Charix,CHARIX,01130,HORS UNITE URBAINE,H,279,1858,15.0,856,01,Ain
01088,Charnoz-sur-Ain,CHARNOZ-SUR-AIN,01800,HORS UNITE URBAINE,H,898,662,136.0,221,01,Ain
01089,Château-Gaillard,CHÂTEAU-GAILLARD,01500,HORS UNITE URBAINE,H,2287,1608,142.0,234,01,Ain
01090,Châtenay,CHÂTENAY,01320,HORS UNITE URBAINE,H,360,1520,24.0,291,01,Ain
01092,Châtillon-la-Palud,CHÂTILLON-LA-PALUD,01320,UNITE URBAINE,C,1649,1408,117.0,284,01,Ain
01093,Châtillon-sur-Chalaronne,CHÂTILLON-SUR-CHALARONNE,01400,UNITE URBAINE,I,5059,1797,282.0,246,01,Ain
01094,Chavannes-sur-Reyssouze,CHAVANNES-SUR-REYSSOUZE,01190,HORS UNITE URBAINE,H,767,1651,46.0,198,01,Ain
01095,Nivigne et Suran,NIVIGNE ET SURAN,01250,HORS UNITE URBAINE,H,832,2175,38.0,413,01,Ain
01096,Chaveyriat,CHAVEYRIAT,01660,HORS UNITE URBAINE,H,1036,1680,62.0,228,01,Ain
01098,Chazey-Bons,CHAZEY-BONS,01300,HORS UNITE URBAINE,H,1188,1071,111.0,282,01,Ain
01099,Chazey-sur-Ain,CHAZEY-SUR-AIN,01150,HORS UNITE URBAINE,H,1600,2212,72.0,223,01,Ain
01100,Cheignieu-la-Balme,CHEIGNIEU-LA-BALME,01510,HORS UNITE URBAINE,H,131,590,22.0,527,01,Ain
01101,Chevillard,CHEVILLARD,01430,HORS UNITE URBAINE,H,150,665,23.0,833,01,Ain
01102,Chevroux,CHEVROUX,01190,HORS UNITE URBAINE,H,973,1723,56.0,196,01,Ain
01103,Chevry,CHEVRY,01170,UNITE URBAINE,B,2261,579,391.0,496,01,Ain
01104,Chézery-Forens,CHÉZERY-FORENS,01410,HORS UNITE URBAINE,H,445,4645,10.0,996,01,Ain
01105,Civrieux,CIVRIEUX,01390,HORS UNITE URBAINE,H,1916,2019,95.0,286,01,Ain
01106,Cize,CIZE,01250,HORS UNITE URBAINE,H,176,450,39.0,363,01,Ain
01107,Cleyzieu,CLEYZIEU,01230,HORS UNITE URBAINE,H,140,767,18.0,658,01,Ain
01108,Coligny,COLIGNY,01270,HORS UNITE URBAINE,H,1227,1689,73.0,275,01,Ain
01109,Collonges,COLLONGES,01550,HORS UNITE URBAINE,H,2249,1621,139.0,738,01,Ain
01110,Colomieu,COLOMIEU,01300,HORS UNITE URBAINE,H,163,583,28.0,362,01,Ain
01111,Conand,CONAND,01230,HORS UNITE URBAINE,H,135,1529,9.0,674,01,Ain
01112,Condamine,CONDAMINE,01430,UNITE URBAINE,B,473,455,104.0,640,01,Ain
01113,Condeissiat,CONDEISSIAT,01400,HORS UNITE URBAINE,H,815,2170,38.0,252,01,Ain
01114,Confort,CONFORT,01200,HORS UNITE URBAINE,H,685,1125,61.0,858,01,Ain
01115,Confrançon,CONFRANÇON,01310,HORS UNITE URBAINE,H,1348,1816,74.0,209,01,Ain
01116,Contrevoz,CONTREVOZ,01300,HORS UNITE URBAINE,H,493,1427,35.0,472,01,Ain
01117,Conzieu,CONZIEU,01300,HORS UNITE URBAINE,H,149,708,21.0,444,01,Ain
01118,Corbonod,CORBONOD,01420,UNITE URBAINE,B,1296,3201,40.0,781,01,Ain
01121,Corlier,CORLIER,01110,HORS UNITE URBAINE,H,117,556,21.0,784,01,Ain
01123,Cormoranche-sur-Saône,CORMORANCHE-SUR-SAÔNE,01290,HORS UNITE URBAINE,H,1162,992,117.0,178,01,Ain
01124,Cormoz,CORMOZ,01560,HORS UNITE URBAINE,H,703,1961,36.0,205,01,Ain
01125,Corveissiat,CORVEISSIAT,01250,HORS UNITE URBAINE,H,596,2292,26.0,475,01,Ain
01127,Courmangoux,COURMANGOUX,01370,HORS UNITE URBAINE,H,504,1501,34.0,297,01,Ain
01128,Courtes,COURTES,01560,HORS UNITE URBAINE,H,297,894,33.0,208,01,Ain
01129,Crans,CRANS,01320,HORS UNITE URBAINE,H,306,1324,23.0,296,01,Ain
01130,Bresse Vallons,BRESSE VALLONS,01340,HORS UNITE URBAINE,H,2380,1388,171.0,210,01,Ain
01133,Cressin-Rochefort,CRESSIN-ROCHEFORT,01350,HORS UNITE URBAINE,H,389,773,50.0,280,01,Ain
01134,Crottet,CROTTET,01290,UNITE URBAINE,C,1818,1219,149.0,183,01,Ain
01135,Crozet,CROZET,01170,UNITE URBAINE,C,2288,2723,84.0,1016,01,Ain
01136,Cruzilles-lès-Mépillat,CRUZILLES-LÈS-MÉPILLAT,01290,HORS UNITE URBAINE,H,943,1189,79.0,208,01,Ain
01138,Culoz-Béon,CULOZ-BÉON,01350,UNITE URBAINE,I,3426,1911,179.0,516,01,Ain
01139,Curciat-Dongalon,CURCIAT-DONGALON,01560,HORS UNITE URBAINE,H,451,2395,19.0,200,01,Ain
01140,Curtafond,CURTAFOND,01310,HORS UNITE URBAINE,H,784,1273,62.0,216,01,Ain
01141,Cuzieu,CUZIEU,01300,HORS UNITE URBAINE,H,433,483,90.0,358,01,Ain
01142,Dagneux,DAGNEUX,01120,UNITE URBAINE,B,4753,683,696.0,220,01,Ain
01143,Divonne-les-Bains,DIVONNE-LES-BAINS,01220,UNITE URBAINE,I,10137,3374,300.0,810,01,Ain
